Quarter,Industry,Jobs Displaced,Productivity Multiplier
2021-06-30,Consulting,52700.0,3.1623557075657978
2021-06-30,Finance & Banking,36996.0,3.587149395696369
2021-06-30,Healthcare,31502.0,2.0644575057693193
2021-06-30,Real Estate,24145.0,4.1040576075839175
2021-06-30,Legal Services,18538.0,2.2780459262776525
2021-06-30,Creative & Media,7996.0,2.4061781411987146
2021-06-30,E-commerce,4540.0,2.7687864465040852
2021-06-30,Technology,3314.0,3.4545633660762225
2021-06-30,Customer Service,889.0,2.675639048773264
2021-09-30,Healthcare,97769.0,2.287368506205178
2021-09-30,Customer Service,54867.0,2.66226650811324
2021-09-30,Consulting,13655.0,2.064241656539782
2021-09-30,Technology,5418.0,3.333473789525466
2021-09-30,Legal Services,4566.0,2.431092529536382
2021-09-30,E-commerce,3033.0,1.9579304701431053
2021-09-30,Real Estate,979.0,2.120547393609419
2021-12-31,E-commerce,36253.0,3.2498794264402235
2021-12-31,Healthcare,21440.0,2.9257467773672174
2021-12-31,Finance & Banking,13070.0,1.224
2021-12-31,Real Estate,5090.0,2.941700655033029
2021-12-31,Customer Service,4476.0,2.7477749051449534
2021-12-31,Technology,3501.0,1.8419539275842118
2021-12-31,Consulting,2545.0,3.3494016398982933
2022-03-31,Real Estate,23414.0,3.994924807493606
2022-03-31,E-commerce,16383.0,1.9108863764770088
2022-03-31,Consulting,14572.0,3.4279622825781644
2022-03-31,Creative & Media,11565.0,2.7957902735576985
2022-03-31,Finance & Banking,3940.0,3.367251946827142
2022-03-31,Technology,2730.0,3.6257587541286256
2022-03-31,Healthcare,2354.0,3.0578944998273805
2022-06-30,Technology,66074.0,2.91376231291796
2022-06-30,Creative & Media,36966.0,3.451213296506163
2022-06-30,Real Estate,27886.0,2.727610034315106
2022-06-30,E-commerce,6032.0,3.6895404320987004
2022-06-30,Consulting,5768.0,2.4370592309300614
2022-06-30,Legal Services,3679.0,3.7671452851670657
2022-06-30,Healthcare,2336.0,4.324164441626292
2022-09-30,E-commerce,16666.0,3.43259203926641
2022-09-30,Legal Services,14615.0,2.9407660935499726
2022-09-30,Healthcare,7762.0,2.3286804952194937
2022-09-30,Technology,7116.0,3.423432683334543
2022-09-30,Customer Service,6912.0,3.7971324369881057
2022-09-30,Consulting,4572.0,3.485998409724065
2022-09-30,Real Estate,1414.0,2.8816754630660073
2022-09-30,Finance & Banking,945.0,2.666951548329048
2022-09-30,Creative & Media,253.0,2.5216822058902695
2022-12-31,Customer Service,68107.0,3.0845165975364663
2022-12-31,E-commerce,62340.0,3.034110752466807
2022-12-31,Finance & Banking,8709.0,3.0020122540363197
2022-12-31,Healthcare,5859.0,3.0846181625353886
2022-12-31,Legal Services,3150.0,3.930396889419577
2022-12-31,Creative & Media,901.0,2.664273221101076
2022-12-31,Real Estate,689.0,2.9273659613155
2023-03-31,Healthcare,25032.0,2.216487061442019
2023-03-31,Consulting,16608.0,3.2484230841680515
2023-03-31,Legal Services,12345.0,3.1047098870918997
2023-03-31,E-commerce,12257.0,2.392196197143845
2023-03-31,Creative & Media,11648.0,1.8814961211047823
2023-03-31,Real Estate,9502.0,3.709082948137105
2023-03-31,Customer Service,4035.0,1.701251841928727
2023-03-31,Finance & Banking,1287.0,3.545870216734615
2023-06-30,Creative & Media,47483.0,5.251488333790748
2023-06-30,E-commerce,6706.0,2.6988460776378105
2023-06-30,Technology,1382.0,2.801507045726964
2023-06-30,Consulting,1282.0,3.9270606238242727
2023-06-30,Healthcare,821.0,3.4198010101062604
2023-06-30,Legal Services,765.0,4.914618000754991
2023-06-30,Finance & Banking,407.0,4.331684853137762
2023-06-30,Customer Service,110.0,3.2810975899012544
2023-09-30,Healthcare,54283.0,3.2159865046923453
2023-09-30,Real Estate,23306.0,2.8766668055335827
2023-09-30,E-commerce,17127.0,2.6500368565181014
2023-09-30,Technology,13253.0,2.5097626790608802
2023-09-30,Finance & Banking,6607.0,2.757431459005986
2023-09-30,Customer Service,2322.0,2.7888746046420323
2023-09-30,Creative & Media,281.0,1.475114473402928
2023-12-31,Finance & Banking,15025.0,4.324646197078686
2023-12-31,Healthcare,6589.0,2.6175597414885416
2023-12-31,E-commerce,5562.0,4.69727048874206
2023-12-31,Creative & Media,2198.0,3.987022976811452
2023-12-31,Real Estate,1633.0,3.7165634491726323
2023-12-31,Customer Service,1296.0,1.6980833367722048
2023-12-31,Legal Services,1023.0,3.7202886804342903
2023-12-31,Consulting,205.0,3.108300684493019
2024-03-31,E-commerce,46912.0,4.174736329565831
2024-03-31,Real Estate,11135.0,2.3698399376689214
2024-03-31,Customer Service,7324.0,3.6211884746506997
2024-03-31,Technology,4373.0,4.126297592517285
2024-03-31,Finance & Banking,3483.0,1.224
2024-03-31,Healthcare,2588.0,1.7926489640525398
2024-03-31,Legal Services,506.0,2.0569379442102242
2024-06-30,E-commerce,59490.0,2.831945703287128
2024-06-30,Technology,49167.0,3.0847756867764695
2024-06-30,Customer Service,13318.0,3.3191063555510025
2024-06-30,Healthcare,8320.0,3.5157856238352756
2024-06-30,Creative & Media,3435.0,2.948540519055758
2024-06-30,Consulting,2191.0,2.576943837599542
2024-06-30,Finance & Banking,544.0,4.509360498235488
2024-06-30,Real Estate,444.0,3.2735987736889194
2024-06-30,Legal Services,227.0,1.7575834979670248
2024-09-30,Real Estate,57008.0,1.9299852703166254
2024-09-30,Consulting,55495.0,3.113665378607793
2024-09-30,E-commerce,54054.0,2.3953921957459725
2024-09-30,Legal Services,5427.0,4.055932969013032
2024-09-30,Healthcare,5275.0,2.1681733247322574
2024-09-30,Finance & Banking,1985.0,2.5029162969297896
2024-09-30,Technology,1379.0,5.403371671669682
2024-09-30,Customer Service,964.0,2.304436327469585
2024-12-31,Creative & Media,48839.0,3.289751251218955
2024-12-31,Consulting,16131.0,4.003848125592925
2024-12-31,Healthcare,7983.0,3.130269499996507
2024-12-31,Technology,3138.0,2.1725532668936784
2024-12-31,Customer Service,3100.0,3.1093528790610994
2024-12-31,Real Estate,3046.0,2.8479764310504296
2024-12-31,E-commerce,2175.0,2.3668203323076034
2024-12-31,Finance & Banking,714.0,2.485364826558947
2024-12-31,Legal Services,575.0,1.7002776672022488
2025-03-31,E-commerce,29829.0,2.64584852503808
2025-03-31,Healthcare,12294.0,2.0156996743854436
2025-03-31,Finance & Banking,4238.0,4.048539357042747
2025-03-31,Technology,4195.0,2.304421292434131
2025-03-31,Real Estate,3309.0,2.1985640429363
2025-03-31,Consulting,1012.0,3.409711296183152
2025-03-31,Customer Service,224.0,2.0153164471849165
2025-06-30,E-commerce,62051.0,2.8234647217717557
2025-06-30,Creative & Media,12233.0,2.4179417507815915
2025-06-30,Real Estate,9805.0,3.0892970320537816
2025-06-30,Consulting,7171.0,3.300627728662016
2025-06-30,Technology,2994.0,4.082155331884169
2025-06-30,Legal Services,2183.0,1.6055328241848157
2025-06-30,Healthcare,1257.0,3.7566180416818176
2025-06-30,Finance & Banking,607.0,2.1018991544339767
2025-09-30,Creative & Media,70672.0,2.641338379875218
2025-09-30,Consulting,29957.0,3.0608338461073994
2025-09-30,E-commerce,19466.0,2.8259589951017237
2025-09-30,Real Estate,7233.0,3.537009182614618
2025-09-30,Healthcare,4819.0,2.63562803787558
2025-09-30,Finance & Banking,2579.0,2.125608945700662
2025-09-30,Technology,2256.0,1.9083275883976625
2025-09-30,Legal Services,368.0,4.118242783408151
