Quarter,Role,Jobs Displaced,Wage Suppression %
2022-09-30,Copywriter,328.0,19.554622866303013
2022-09-30,Sales Development Rep,53.0,11.417834710000712
2022-12-31,QA Tester,74324.0,14.551290912087088
2022-12-31,Junior Analyst,54000.0,8.34167413183342
2022-12-31,Technical Writer,11741.0,16.076175816679015
2022-12-31,Virtual Assistant,4877.0,19.77594663050788
2022-12-31,Paralegal,1949.0,12.807850578347681
2022-12-31,Graphic Designer,1898.0,2.720424822215275
2022-12-31,Transcriptionist,689.0,18.011225274539342
2022-12-31,Bookkeeper,277.0,10.740126747967878
2023-03-31,Junior Analyst,25474.0,12.418835247182706
2023-03-31,Transcriptionist,17630.0,3.6015069903008707
2023-03-31,Technical Writer,13754.0,9.083020615892337
2023-03-31,Customer Success Rep,13448.0,5.845539912271739
2023-03-31,QA Tester,8083.0,8.896992078333303
2023-03-31,Graphic Designer,6007.0,12.791407158879265
2023-03-31,Proofreader,4385.0,10.61573643596777
2023-03-31,Paralegal,3300.0,22.08347288054434
2023-03-31,Sales Development Rep,338.0,14.701693808382254
2023-03-31,Social Media Manager,295.0,0.0
2023-06-30,Copywriter,46916.0,0.7073375055978608
2023-06-30,Proofreader,4030.0,5.018446676641092
2023-06-30,Translator,3126.0,8.900742409327641
2023-06-30,Technical Writer,1422.0,13.774283170764372
2023-06-30,Customer Success Rep,1382.0,4.210216726189603
2023-06-30,Administrative Assistant,844.0,22.41853995427866
2023-06-30,Paralegal,712.0,9.951565898848786
2023-06-30,Transcriptionist,407.0,25.98639636308958
2023-06-30,QA Tester,61.0,12.44884866067384
2023-06-30,Junior Analyst,56.0,5.310463700169443
2023-09-30,Junior Analyst,33725.0,16.850662425372807
2023-09-30,Administrative Assistant,28692.0,7.425648780365193
2023-09-30,Graphic Designer,15384.0,14.072582121600808
2023-09-30,Copywriter,13972.0,17.511542167983528
2023-09-30,Bookkeeper,8402.0,10.815278420515352
2023-09-30,Sales Development Rep,7856.0,9.97318986128821
2023-09-30,Technical Writer,6427.0,10.320477016104075
2023-09-30,Paralegal,2322.0,10.468102521306925
2023-09-30,QA Tester,281.0,13.946760869351321
2023-09-30,Transcriptionist,118.0,22.194678455385215
2023-12-31,QA Tester,15990.0,12.5133923886843
2023-12-31,Junior Analyst,7041.0,17.545389244962166
2023-12-31,Paralegal,5059.0,26.26102070127709
2023-12-31,Technical Writer,2935.0,14.241535376216738
2023-12-31,Proofreader,1633.0,19.562774017143276
2023-12-31,Bookkeeper,708.0,9.029785483022987
2023-12-31,Transcriptionist,165.0,16.388010462156043
2024-03-31,Virtual Assistant,36513.0,10.467507361370048
2024-03-31,Paralegal,10820.0,5.968696598539147
2024-03-31,Sales Development Rep,10122.0,14.436235347252005
2024-03-31,QA Tester,7919.0,6.835549363654873
2024-03-31,Customer Success Rep,5056.0,19.46728963154244
2024-03-31,Transcriptionist,2206.0,13.88849040242053
2024-03-31,Bookkeeper,1712.0,13.274138157377134
2024-03-31,Translator,874.0,6.102351267674305
2024-03-31,Junior Analyst,646.0,8.475014415338155
2024-03-31,Junior Software Developer,453.0,10.853332277345237
2024-06-30,Junior Analyst,54256.0,16.901345710018607
2024-06-30,Bookkeeper,26026.0,17.260623096224865
2024-06-30,Administrative Assistant,25322.0,3.0100696922704206
2024-06-30,Paralegal,15736.0,11.07432706628011
2024-06-30,Proofreader,8509.0,7.612677676198356
2024-06-30,Technical Writer,3293.0,17.46939987075516
2024-06-30,Graphic Designer,2829.0,18.070232732830185
2024-06-30,Junior Software Developer,544.0,22.559654557899854
2024-06-30,Customer Success Rep,338.0,16.364874399792445
2024-06-30,Copywriter,115.0,12.448814017671198
2024-06-30,QA Tester,106.0,19.915548315740956
2024-06-30,Sales Development Rep,62.0,16.726158596815978
2024-09-30,Translator,59426.0,5.3596490695626775
2024-09-30,QA Tester,59275.0,8.791118137534303
2024-09-30,Transcriptionist,53999.0,1.4189116195384208
2024-09-30,Paralegal,3009.0,5.6151486688885575
2024-09-30,Proofreader,1985.0,0.0
2024-09-30,Virtual Assistant,1379.0,28.85355345880345
2024-09-30,Sales Development Rep,964.0,16.406389715797456
2024-09-30,Technical Writer,888.0,14.623118533466169
2024-09-30,Administrative Assistant,608.0,17.842321275697547
2024-09-30,Junior Analyst,54.0,21.029805226623242
2024-12-31,Technical Writer,40269.0,13.28389678573123
2024-12-31,Proofreader,18508.0,15.050718927517485
2024-12-31,QA Tester,12352.0,9.60297382010936
2024-12-31,Virtual Assistant,7050.0,17.806512373898606
2024-12-31,Graphic Designer,3046.0,8.405615416141448
2024-12-31,Paralegal,2267.0,23.26105112856652
2024-12-31,Bookkeeper,986.0,8.405776112330523
2024-12-31,Junior Software Developer,558.0,6.7985754894250485
2024-12-31,Administrative Assistant,480.0,18.96587275525548
2024-12-31,Junior Analyst,185.0,11.52941862506693
2025-03-31,Customer Success Rep,26464.0,21.655561974064987
2025-03-31,Technical Writer,11457.0,14.892374596807187
2025-03-31,Administrative Assistant,8134.0,0.0
2025-03-31,Bookkeeper,4938.0,14.77020764003782
2025-03-31,QA Tester,2515.0,3.1893657813826586
2025-03-31,Junior Analyst,1359.0,22.92930702530879
2025-03-31,Virtual Assistant,234.0,9.89947754688341
2025-06-30,Bookkeeper,54054.0,15.965340799407501
2025-06-30,QA Tester,19006.0,14.913304644470648
2025-06-30,Paralegal,7361.0,12.132586332541432
2025-06-30,Sales Development Rep,6600.0,18.802750617787773
2025-06-30,Graphic Designer,3941.0,20.186389937247874
2025-06-30,Junior Analyst,2931.0,13.22137641451384
2025-06-30,Virtual Assistant,2461.0,22.72799839645686
2025-06-30,Transcriptionist,792.0,10.854813105396099
2025-06-30,Junior Software Developer,622.0,25.066460307774232
2025-06-30,Technical Writer,533.0,3.684600268470664
2025-09-30,Bookkeeper,54138.0,9.610497013228915
2025-09-30,Translator,27697.0,14.775100573834935
2025-09-30,Proofreader,17993.0,7.428792848896745
2025-09-30,Copywriter,11908.0,17.534781655071964
2025-09-30,Junior Analyst,8284.0,9.794481177569082
2025-09-30,Administrative Assistant,5586.0,11.354124087311742
2025-09-30,Graphic Designer,3101.0,15.040655371013717
2025-09-30,Social Media Manager,2586.0,1.5325285248109843
2025-09-30,Virtual Assistant,2367.0,11.681336071395197
2025-09-30,Technical Writer,1571.0,8.134560725308901
2025-09-30,Transcriptionist,784.0,11.256305213283545
2025-09-30,Junior Software Developer,639.0,0.43955448766954924
2025-09-30,QA Tester,431.0,9.448154768563517
2025-09-30,Paralegal,212.0,30.314711335226985
2025-09-30,Sales Development Rep,53.0,3.1809557602774463
