Date,Manufacturer,HQ,Units Sold,Revenue (M$)
2020-12-31,Lucid,Germany,42050.0,1892250.2926034934
2020-12-31,BYD,Sweden,6685.0,300824.64071176975
2020-12-31,Polestar,Germany,3397.0,152865.0160897478
2020-12-31,Nissan,Japan,3353.0,150884.98215591186
2020-12-31,Rivian,South Korea,1146.0,51570.12588572449
2020-12-31,Mercedes-Benz,Sweden,1047.0,47114.980388561795
2020-12-31,Ford,Germany,718.0,32310.064881808798
2020-12-31,Polestar,Sweden,382.0,17189.649126183718
2020-12-31,GM,Germany,304.0,13679.804093019977
2020-12-31,Polestar,China,114.0,5129.995731348443
2021-01-31,Polestar,China,8425.0,379124.7138807032
2021-01-31,Kia,USA,7355.0,330974.90203998494
2021-01-31,BYD,Sweden,7146.0,321569.6693397675
2021-01-31,Polestar,Sweden,3574.0,160830.00779193718
2021-01-31,Nissan,Japan,2116.0,95220.10550045248
2021-01-31,Lucid,Germany,1744.0,78480.41218359864
2021-01-31,Ford,Germany,1028.0,46259.80777759654
2021-01-31,Mercedes-Benz,Sweden,644.0,28979.974817515445
2021-01-31,Polestar,Germany,91.0,4094.9745957952277
2021-01-31,GM,Germany,44.0,1980.0419326873343
2021-02-28,Ford,Germany,24600.0,1106999.921900658
2021-02-28,GM,Germany,6533.0,293984.7459120149
2021-02-28,Polestar,Sweden,2561.0,115244.85293128155
2021-02-28,Lucid,USA,2282.0,102689.50062691169
2021-02-28,Mercedes-Benz,Sweden,1424.0,64080.32367542592
2021-02-28,BYD,Sweden,549.0,24704.77472485388
2021-02-28,Nissan,Japan,449.0,20205.116533082484
2021-02-28,Polestar,Germany,239.0,10755.262492277416
2021-02-28,Lucid,Germany,80.0,3600.175421077447
2021-03-31,Kia,USA,10528.0,473759.99352204194
2021-03-31,BYD,Sweden,8203.0,369134.8567918925
2021-03-31,Rivian,South Korea,8115.0,365174.75876049616
2021-03-31,Ford,Germany,6571.0,295695.0049817022
2021-03-31,Polestar,Germany,2864.0,128879.83484328886
2021-03-31,Polestar,Sweden,1248.0,56160.34543206124
2021-03-31,Hyundai,South Korea,1082.0,48690.187478198124
2021-03-31,Nissan,Japan,1068.0,48059.889104453956
2021-03-31,Mercedes-Benz,Sweden,240.0,10800.049804987162
2021-03-31,Lucid,Germany,216.0,9720.340778565438
2021-04-30,Polestar,Germany,8939.0,402255.20100488537
2021-04-30,Mercedes-Benz,Sweden,5596.0,251820.0392248601
2021-04-30,Lucid,Germany,3472.0,156240.05646034752
2021-04-30,Hyundai,South Korea,1972.0,88740.02605503159
2021-04-30,Nissan,Japan,1798.0,80909.82971012348
2021-04-30,Rivian,South Korea,1737.0,78165.16832508816
2021-04-30,BYD,Sweden,663.0,29834.806995440907
2021-04-30,Kia,USA,495.0,22275.035971766538
2021-04-30,Polestar,Sweden,419.0,18854.820133166922
2021-04-30,GM,Germany,62.0,2789.7743065113273
2021-04-30,Lucid,USA,49.0,2205.1194405256365
2021-05-31,Mercedes-Benz,Sweden,103954.0,4677930.086974425
2021-05-31,Ford,Germany,8521.0,383444.8667206509
2021-05-31,Rivian,South Korea,7637.0,343665.2877638625
2021-05-31,Nissan,Japan,6735.0,303075.2034775661
2021-05-31,Polestar,Germany,2056.0,92519.72781332431
2021-05-31,Lucid,Germany,1684.0,75780.18052407636
2021-05-31,GM,Germany,1012.0,45539.91819197366
2021-05-31,Lucid,USA,716.0,32219.778097530903
2021-05-31,Polestar,Sweden,471.0,21194.835429283507
2021-05-31,Hyundai,South Korea,399.0,17954.838776253717
2021-05-31,BYD,Sweden,10.0,450.00328891209875
2021-06-30,Lucid,Germany,33421.0,1503945.0616464235
2021-06-30,Ford,Germany,14443.0,649935.0889444865
2021-06-30,Nissan,Japan,6197.0,278864.8068335576
2021-06-30,Polestar,China,2807.0,126314.8938469021
2021-06-30,Polestar,Germany,2519.0,113355.34828250672
2021-06-30,BYD,Sweden,2465.0,110924.71522091862
2021-06-30,Kia,USA,820.0,36899.7977974833
2021-06-30,Rivian,South Korea,453.0,20385.050851339518
2021-06-30,Lucid,USA,298.0,13410.066372026304
2021-06-30,GM,Germany,106.0,4770.076233889072
2021-07-31,Lucid,Germany,14842.0,667890.2330516602
2021-07-31,Kia,USA,7863.0,353835.142577685
2021-07-31,BYD,Sweden,7661.0,344744.7400515164
2021-07-31,GM,Germany,7603.0,342135.06659000344
2021-07-31,Lucid,USA,3956.0,178019.32304970588
2021-07-31,Polestar,China,1560.0,70200.11428192149
2021-07-31,Polestar,Germany,722.0,32490.07281461988
2021-07-31,Ford,Germany,517.0,23265.09491539772
2021-07-31,Mercedes-Benz,Sweden,328.0,14759.76848225616
2021-07-31,Rivian,South Korea,288.0,12959.91039215316
2021-07-31,Nissan,Japan,236.0,10619.842777350505
2021-08-31,Polestar,China,64165.0,2887424.8633476202
2021-08-31,Kia,USA,18789.0,845504.8626560154
2021-08-31,Ford,Germany,17190.0,773549.6946522229
2021-08-31,BYD,Sweden,11807.0,531315.2296574906
2021-08-31,Hyundai,South Korea,4130.0,185850.20253338726
2021-08-31,Polestar,Sweden,3868.0,174059.62510518357
2021-08-31,GM,Germany,1527.0,68714.98284452305
2021-08-31,Rivian,South Korea,1109.0,49904.973937082555
2021-08-31,Mercedes-Benz,Sweden,590.0,26549.87325077625
2021-08-31,Polestar,Germany,378.0,17010.035219899
2021-08-31,Lucid,Germany,147.0,6615.136374442411
2021-09-30,Lucid,USA,102941.0,4632344.676405335
2021-09-30,Rivian,South Korea,19576.0,880919.7716054888
2021-09-30,Polestar,Germany,9483.0,426734.8432615174
2021-09-30,Polestar,China,6122.0,275490.02868608286
2021-09-30,Hyundai,South Korea,4264.0,191879.88336292483
2021-09-30,Polestar,Sweden,3508.0,157859.99380581648
2021-09-30,BYD,Sweden,3033.0,136485.14440273363
2021-09-30,Kia,USA,1809.0,81405.25095973046
2021-09-30,Lucid,Germany,1397.0,62864.96739946229
2021-09-30,Nissan,Japan,587.0,26414.94815170895
2021-09-30,Mercedes-Benz,Sweden,280.0,12600.60346618119
2021-09-30,GM,Germany,57.0,2564.9566238215216
2021-10-31,Mercedes-Benz,Sweden,23079.0,1038554.8958565623
2021-10-31,BYD,Sweden,20253.0,911384.7138499108
2021-10-31,Hyundai,South Korea,8328.0,374760.28790379944
2021-10-31,Ford,Germany,7733.0,347985.01379864616
2021-10-31,Polestar,Sweden,5556.0,250019.6691069881
2021-10-31,Polestar,China,5027.0,226214.8422714744
2021-10-31,Lucid,Germany,3270.0,147150.48264675404
2021-10-31,GM,Germany,3155.0,141974.492226024
2021-10-31,Nissan,Japan,2961.0,133245.6358477604
2021-10-31,Lucid,USA,1156.0,52020.13481447629
2021-10-31,Rivian,South Korea,780.0,35100.02874781845
2021-11-30,Kia,USA,94515.0,4253175.128148971
2021-11-30,BYD,Sweden,15486.0,696870.2491920117
2021-11-30,Polestar,Sweden,14142.0,636390.3677461994
2021-11-30,Polestar,Germany,11256.0,506519.93674240157
2021-11-30,Ford,Germany,7592.0,341639.6751751323
2021-11-30,Nissan,Japan,7190.0,323550.1575158235
2021-11-30,Polestar,China,4801.0,216044.83914409578
2021-11-30,Hyundai,South Korea,2921.0,131444.9739727664
2021-11-30,Mercedes-Benz,Sweden,2859.0,128654.93971746822
2021-11-30,Rivian,South Korea,1574.0,70829.89106291594
2021-11-30,Lucid,Germany,340.0,15300.276620251101
2021-12-31,Rivian,South Korea,129138.0,5811210.319476837
2021-12-31,Polestar,Germany,59212.0,2664540.1236861343
2021-12-31,Lucid,Germany,13838.0,622709.9097530615
2021-12-31,Nissan,Japan,11830.0,532350.1222716706
2021-12-31,Mercedes-Benz,Sweden,9844.0,442979.9464358762
2021-12-31,Lucid,USA,8996.0,404820.0028759698
2021-12-31,Polestar,China,8463.0,380835.4612244661
2021-12-31,BYD,Sweden,7502.0,337589.4654925402
2021-12-31,Hyundai,South Korea,2549.0,114705.21410423346
2021-12-31,Ford,Germany,1824.0,82080.25285330496
2021-12-31,Kia,USA,146.0,6570.224500578596
2021-12-31,Polestar,Sweden,68.0,3059.9920661756614
2022-01-31,Lucid,USA,45330.0,2039850.2346987303
2022-01-31,Ford,Germany,8583.0,386234.7418410806
2022-01-31,Hyundai,South Korea,6254.0,281429.41179542604
2022-01-31,Polestar,China,3213.0,144585.4277251666
2022-01-31,Lucid,Germany,2548.0,114660.1102067313
2022-01-31,BYD,Sweden,2482.0,111689.72618207634
2022-01-31,Nissan,Japan,1176.0,52920.123739194394
2022-01-31,Rivian,South Korea,638.0,28710.11454682926
2022-01-31,Mercedes-Benz,Sweden,590.0,26549.9852323546
2022-01-31,Polestar,Germany,580.0,26100.013397180515
2022-01-31,Kia,USA,338.0,15210.110604842723
2022-01-31,GM,Germany,12.0,539.9286158301122
2022-02-28,BYD,Sweden,21846.0,983069.8782579458
2022-02-28,Hyundai,South Korea,21258.0,956609.9639477299
2022-02-28,Lucid,USA,11644.0,523980.08205792576
2022-02-28,Mercedes-Benz,Sweden,8072.0,363239.8027821198
2022-02-28,Polestar,China,2090.0,94050.0086736365
2022-02-28,GM,Germany,1835.0,82574.98675902521
2022-02-28,Kia,USA,1371.0,61695.20206700955
2022-02-28,Polestar,Sweden,1196.0,53820.10689089677
2022-02-28,Ford,Germany,458.0,20610.08303579184
2022-02-28,Polestar,Germany,400.0,18000.09578923434
2022-02-28,Lucid,Germany,91.0,4095.3010966769198
2022-02-28,Nissan,Japan,66.0,2969.9924311313785
2022-03-31,Lucid,USA,18484.0,831780.0597051176
2022-03-31,BYD,Sweden,11781.0,530144.9539218947
2022-03-31,Hyundai,South Korea,9756.0,439020.2170306599
2022-03-31,Kia,USA,8197.0,368864.9530880983
2022-03-31,Nissan,Japan,7575.0,340874.93296486395
2022-03-31,Mercedes-Benz,Sweden,3489.0,157005.08266974607
2022-03-31,Polestar,Sweden,1477.0,66464.96130426884
2022-03-31,Rivian,South Korea,1268.0,57060.04330547832
2022-03-31,GM,Germany,1237.0,55665.2447509342
2022-03-31,Lucid,Germany,570.0,25650.2778162518
2022-03-31,Polestar,Germany,207.0,9315.009766138515
2022-04-30,Lucid,USA,15837.0,712665.0019475452
2022-04-30,Polestar,Germany,3359.0,151155.14578107512
2022-04-30,Polestar,China,3199.0,143954.84553016053
2022-04-30,Hyundai,South Korea,1619.0,72854.85861244905
2022-04-30,Ford,Germany,1001.0,45045.1489065697
2022-04-30,Polestar,Sweden,760.0,34200.345563767514
2022-04-30,BYD,Sweden,344.0,15479.956562480244
2022-04-30,Mercedes-Benz,Sweden,39.0,1755.1237766642607
2022-05-31,BYD,Sweden,39691.0,1786094.6135611015
2022-05-31,Lucid,Germany,36812.0,1656540.4099288324
2022-05-31,Nissan,Japan,7773.0,349784.8827054748
2022-05-31,Ford,Germany,3674.0,165329.97401478566
2022-05-31,Rivian,South Korea,2975.0,133874.77588232743
2022-05-31,GM,Germany,2598.0,116909.92564771083
2022-05-31,Polestar,Sweden,2369.0,106604.99981322534
2022-05-31,Polestar,Germany,1146.0,51570.009877021286
2022-05-31,Hyundai,South Korea,1068.0,48059.98282175435
2022-05-31,Polestar,China,167.0,7515.098006124979
2022-05-31,Mercedes-Benz,Sweden,27.0,1214.7336748812172
2022-06-30,Polestar,China,10453.0,470384.73397309467
2022-06-30,Mercedes-Benz,Sweden,8893.0,400184.95862768596
2022-06-30,GM,Germany,6855.0,308474.9701691683
2022-06-30,Polestar,Sweden,6594.0,296730.418895754
2022-06-30,BYD,Sweden,3449.0,155204.96795097413
2022-06-30,Lucid,Germany,3429.0,154304.8685635134
2022-06-30,Lucid,USA,3260.0,146699.84677080566
2022-06-30,Ford,Germany,2228.0,100260.17365546244
2022-06-30,Kia,USA,1447.0,65115.03330482877
2022-06-30,Rivian,South Korea,1234.0,55530.00981843876
2022-06-30,Nissan,Japan,147.0,6615.075282119746
2022-06-30,Polestar,Germany,132.0,5939.907103216552
2022-06-30,Hyundai,South Korea,112.0,5039.9791886378425
2022-07-31,BYD,Sweden,11250.0,506249.75560658216
2022-07-31,Ford,Germany,7792.0,350639.9168346487
2022-07-31,GM,Germany,6017.0,270764.80726770475
2022-07-31,Hyundai,South Korea,3325.0,149625.10549722455
2022-07-31,Lucid,Germany,1530.0,68849.99712113502
2022-07-31,Polestar,Germany,1343.0,60434.86917927086
2022-07-31,Polestar,Sweden,1231.0,55395.125458411225
2022-07-31,Kia,USA,541.0,24345.05029802664
2022-07-31,Rivian,South Korea,141.0,6345.11162802832
2022-08-31,Polestar,Germany,24446.0,1100070.5414217091
2022-08-31,Rivian,South Korea,1117.0,50265.08175250503
2022-08-31,GM,Germany,1076.0,48420.05888947854
2022-08-31,Ford,Germany,766.0,34470.07050228204
2022-08-31,BYD,Sweden,614.0,27629.96813347217
2022-08-31,Nissan,Japan,590.0,26549.87528265315
2022-08-31,Mercedes-Benz,Sweden,525.0,23625.161042658026
2022-08-31,Kia,USA,240.0,10799.92742225201
2022-08-31,Polestar,Sweden,180.0,8099.931949232991
2022-08-31,Polestar,China,8.0,360.10384331160395
2022-09-30,BYD,Sweden,34674.0,1560330.1914781246
2022-09-30,Ford,Germany,7987.0,359415.00429682445
2022-09-30,Nissan,Japan,4192.0,188640.31950155925
2022-09-30,Lucid,USA,1179.0,53054.91601191343
2022-09-30,Polestar,Germany,1127.0,50714.894593639845
2022-09-30,Hyundai,South Korea,1061.0,47744.94313507279
2022-09-30,Mercedes-Benz,Sweden,1028.0,46259.720013439764
2022-09-30,Rivian,South Korea,962.0,43289.76071715892
2022-09-30,Kia,USA,140.0,6300.07341982629
2022-09-30,Lucid,Germany,75.0,3374.9883867274384
2022-09-30,GM,Germany,69.0,3104.957310973518
2022-09-30,Polestar,Sweden,20.0,900.0404972579239
2022-10-31,BYD,Sweden,33997.0,1529865.0201180503
2022-10-31,Rivian,South Korea,12184.0,548279.947885796
2022-10-31,Lucid,Germany,1378.0,62010.112926994094
2022-10-31,Lucid,USA,410.0,18449.878261685422
2022-10-31,Nissan,Japan,359.0,16155.183139689827
2022-10-31,Kia,USA,267.0,12014.657432340837
2022-10-31,Polestar,Sweden,234.0,10529.85160572967
2022-10-31,Ford,Germany,70.0,3149.9677740322704
2022-11-30,Nissan,Japan,11386.0,512369.82441026845
2022-11-30,Kia,USA,9385.0,422325.55646962207
2022-11-30,GM,Germany,9318.0,419309.948236123
2022-11-30,Lucid,Germany,8107.0,364815.06772449915
2022-11-30,Hyundai,South Korea,6075.0,273375.12382238574
2022-11-30,Lucid,USA,4357.0,196064.80760834675
2022-11-30,Polestar,China,2215.0,99675.04266406762
2022-11-30,Mercedes-Benz,Sweden,1391.0,62595.2651656755
2022-11-30,Rivian,South Korea,970.0,43650.10533315166
2022-11-30,Ford,Germany,596.0,26820.084647878204
2022-11-30,Polestar,Germany,565.0,25425.11215095377
2022-11-30,BYD,Sweden,286.0,12869.98511298933
2022-12-31,Polestar,Germany,44939.0,2022255.3810486281
2022-12-31,Hyundai,South Korea,12576.0,565920.3988180383
2022-12-31,Lucid,Germany,7619.0,342855.2524187971
2022-12-31,Mercedes-Benz,Sweden,5392.0,242640.12955472816
2022-12-31,BYD,Sweden,2781.0,125145.01175188506
2022-12-31,Lucid,USA,1639.0,73754.96902714758
2022-12-31,Kia,USA,1124.0,50580.34891470736
2022-12-31,Rivian,South Korea,703.0,31634.80273298519
2022-12-31,Ford,Germany,641.0,28844.891796852735
2022-12-31,Nissan,Japan,489.0,22004.7966482586
2023-01-31,Rivian,South Korea,32993.0,1484684.5381626214
2023-01-31,Hyundai,South Korea,5623.0,253035.21431075092
2023-01-31,Polestar,Germany,3743.0,168434.79351557192
2023-01-31,Nissan,Japan,3623.0,163035.13926001644
2023-01-31,Lucid,Germany,1785.0,80325.09646403122
2023-01-31,Polestar,Sweden,1698.0,76410.09784580058
2023-01-31,GM,Germany,1652.0,74339.96292448846
2023-01-31,Kia,USA,1564.0,70380.25268148271
2023-01-31,BYD,Sweden,1438.0,64709.39090665842
2023-01-31,Mercedes-Benz,Sweden,597.0,26864.814746195374
2023-01-31,Lucid,USA,375.0,16875.401937533607
2023-01-31,Ford,Germany,269.0,12105.374194067961
2023-02-28,Ford,Germany,8073.0,363285.13479352195
2023-02-28,Polestar,Germany,5098.0,229409.6889478616
2023-02-28,Lucid,Germany,4994.0,224729.94916165157
2023-02-28,Mercedes-Benz,Sweden,4333.0,194984.99062905466
2023-02-28,BYD,Sweden,3015.0,135674.9602438449
2023-02-28,Polestar,China,2486.0,111869.56791738735
2023-02-28,Kia,USA,984.0,44279.92708280623
2023-02-28,Hyundai,South Korea,957.0,43064.84796869172
2023-02-28,GM,Germany,801.0,36045.00834317842
2023-02-28,Nissan,Japan,497.0,22364.54221082428
2023-03-31,Nissan,Japan,25454.0,1145429.783139527
2023-03-31,BYD,Sweden,19859.0,893655.0058846138
2023-03-31,Mercedes-Benz,Sweden,16010.0,720450.1819587512
2023-03-31,Kia,USA,12470.0,561149.7089115715
2023-03-31,Polestar,Sweden,6073.0,273284.9982551843
2023-03-31,Polestar,Germany,4793.0,215685.5029807471
2023-03-31,Polestar,China,4574.0,205829.87045660886
2023-03-31,Hyundai,South Korea,1837.0,82665.27105252907
2023-03-31,Lucid,USA,880.0,39600.18308285329
2023-03-31,Ford,Germany,805.0,36224.78196911355
2023-03-31,GM,Germany,649.0,29204.921572187926
2023-03-31,Lucid,Germany,305.0,13725.066517525192
2023-03-31,Rivian,South Korea,133.0,5984.733228365418
2023-04-30,Lucid,Germany,16428.0,739259.4549584726
2023-04-30,Ford,Germany,10989.0,494504.91827857017
2023-04-30,Polestar,Germany,9562.0,430289.842371291
2023-04-30,Rivian,South Korea,6673.0,300284.61961330636
2023-04-30,Mercedes-Benz,Sweden,3262.0,146790.12516479957
2023-04-30,Polestar,China,2802.0,126090.10380772686
2023-04-30,Polestar,Sweden,2746.0,123569.8511469282
2023-04-30,BYD,Sweden,2547.0,114615.12633913854
2023-04-30,Lucid,USA,1414.0,63629.90495809658
2023-04-30,Nissan,Japan,443.0,19934.856001908378
2023-04-30,GM,Germany,21.0,944.8545931170836
2023-05-31,Mercedes-Benz,Sweden,106240.0,4780800.10675018
2023-05-31,BYD,Sweden,33617.0,1512765.036709741
2023-05-31,Rivian,South Korea,17526.0,788669.2960722349
2023-05-31,Polestar,Germany,13245.0,596025.2544916705
2023-05-31,Polestar,Sweden,12394.0,557730.3473849884
2023-05-31,Lucid,USA,3626.0,163169.58572771246
2023-05-31,Lucid,Germany,2809.0,126405.33851141806
2023-05-31,Ford,Germany,591.0,26594.897274759056
2023-05-31,GM,Germany,385.0,17325.089590485208
2023-05-31,Hyundai,South Korea,181.0,8145.2491962636295
2023-05-31,Polestar,China,34.0,1529.7079392244793
2023-06-30,Mercedes-Benz,Sweden,40787.0,1835415.1638385877
2023-06-30,Lucid,Germany,19310.0,868949.4049119469
2023-06-30,GM,Germany,8300.0,373499.9390257843
2023-06-30,Lucid,USA,6242.0,280889.6748994783
2023-06-30,Polestar,China,1738.0,78210.45527114924
2023-06-30,Polestar,Sweden,1218.0,54809.93149636523
2023-06-30,Hyundai,South Korea,637.0,28664.93801386742
2023-06-30,Ford,Germany,554.0,24930.025742978007
2023-06-30,Kia,USA,203.0,9134.861128659591
2023-06-30,BYD,Sweden,110.0,4950.099163780113
2023-06-30,Polestar,Germany,86.0,3869.911201143234
2023-07-31,Rivian,South Korea,17683.0,795735.4401583982
2023-07-31,Hyundai,South Korea,15520.0,698400.0692866405
2023-07-31,Lucid,Germany,6949.0,312705.2675433358
2023-07-31,Polestar,China,2010.0,90449.88523802337
2023-07-31,BYD,Sweden,1766.0,79469.7704662792
2023-07-31,Polestar,Sweden,1253.0,56384.871849394236
2023-07-31,Lucid,USA,767.0,34515.19483456748
2023-07-31,Nissan,Japan,377.0,16964.953237109145
2023-07-31,Kia,USA,290.0,13050.323923512226
2023-07-31,Polestar,Germany,57.0,2564.94123776823
2023-08-31,Polestar,Sweden,49119.0,2210354.6586293923
2023-08-31,Lucid,USA,18413.0,828584.681879248
2023-08-31,Polestar,China,9244.0,415980.53742595663
2023-08-31,Lucid,Germany,7261.0,326744.9701415714
2023-08-31,Ford,Germany,7208.0,324359.8954479804
2023-08-31,Hyundai,South Korea,5540.0,249299.58745772025
2023-08-31,Nissan,Japan,5159.0,232154.8778856861
2023-08-31,BYD,Sweden,3988.0,179460.16486859357
2023-08-31,GM,Germany,2836.0,127620.04044740896
2023-08-31,Kia,USA,883.0,39734.924383984224
2023-08-31,Mercedes-Benz,Sweden,646.0,29069.703105562457
2023-08-31,Rivian,South Korea,30.0,1350.04162667072
2023-09-30,Rivian,South Korea,31496.0,1417319.9503754086
2023-09-30,Kia,USA,13975.0,628875.5080490217
