Date,Country,Region,EV Sales,Market Share %
2020-05-31,Denmark,Asia,1574,6.666949044855776
2020-05-31,Denmark,South America,3264,6.666802835025225
2020-05-31,Denmark,South America,48860,6.666675762963246
2020-05-31,Denmark,Asia,4950,6.666666666666667
2020-05-31,Denmark,Asia,2386,6.666852943641902
2020-05-31,Denmark,Asia,38475,6.666678218199208
2020-05-31,Denmark,Asia,27269,6.666666666666667
2020-05-31,Finland,North America,435,6.666666666666667
2020-05-31,Germany,Asia,1235,6.667026560138199
2020-05-31,India,Europe,3033,6.666813206137073
2020-05-31,Italy,South America,1436,6.666976182738289
2020-05-31,Italy,North America,22576,6.666686353314296
2020-05-31,Italy,Asia,9353,6.666666666666667
2020-05-31,Netherlands,Europe,1308,6.666666666666667
2020-05-31,Netherlands,North America,10761,6.666666666666667
2020-05-31,Netherlands,Europe,3626,6.666789240471418
2020-05-31,New Zealand,North America,30055,6.666666666666667
2020-05-31,Norway,Europe,12467,6.6667023165279895
2020-05-31,Norway,Europe,8048,6.666666666666667
2020-05-31,Norway,Europe,1564,6.666666666666667
2020-06-30,Australia,Asia,825,6.666666666666667
2020-06-30,Belgium,Oceania,8979,6.666666666666667
2020-06-30,Belgium,Asia,83269,6.666666666666667
2020-06-30,Canada,Asia,2816,6.666824498686048
2020-06-30,Denmark,Asia,2167,6.6668717696283535
2020-06-30,Denmark,Asia,12196,6.666703108686502
2020-06-30,Denmark,Asia,14113,6.666698158662976
2020-06-30,Denmark,Asia,83171,6.666666666666667
2020-06-30,Denmark,South America,16601,6.666693438923113
2020-06-30,Denmark,Asia,44168,6.666666666666667
2020-06-30,Finland,North America,5126,6.666753371743682
2020-06-30,Germany,Asia,1078,6.666666666666667
2020-06-30,India,Europe,388,6.666666666666667
2020-06-30,Italy,South America,4871,6.666666666666667
2020-06-30,Japan,North America,21625,6.666687219074278
2020-06-30,Japan,North America,16540,6.666693537660369
2020-06-30,Japan,Asia,12739,6.666666666666667
2020-06-30,Netherlands,Europe,1000,6.666666666666667
2020-06-30,Netherlands,North America,2682,6.666666666666667
2020-06-30,Netherlands,North America,80712,6.666666666666667
2020-06-30,Norway,Europe,10776,6.666666666666667
2020-06-30,South Korea,Oceania,3577,6.666790919595929
2020-06-30,South Korea,Asia,17846,6.666666666666667
2020-06-30,South Korea,Asia,1398,6.666666666666667
2020-07-31,Belgium,Oceania,3827,6.666666666666667
2020-07-31,Belgium,Asia,788,6.666666666666667
2020-07-31,Belgium,Asia,23796,6.666685343994352
2020-07-31,Denmark,Asia,1271,6.666666666666667
2020-07-31,Denmark,Asia,5945,6.666741426873305
2020-07-31,Denmark,Asia,2637,6.666835212620721
2020-07-31,Denmark,Asia,739,6.666666666666667
2020-07-31,Denmark,Asia,5015,6.666666666666667
2020-07-31,Finland,North America,2386,6.666852943641902
2020-07-31,Japan,Asia,331,6.666666666666667
2020-07-31,Netherlands,North America,29802,6.6666815799422405
2020-07-31,Netherlands,North America,855,6.666666666666667
2020-07-31,New Zealand,North America,11643,6.666666666666667
2020-07-31,New Zealand,North America,1727,6.666666666666667
2020-07-31,Norway,Europe,17271,6.666666666666667
2020-08-31,Australia,Asia,4917,6.666666666666667
2020-08-31,Austria,Europe,1225,6.667029498203984
2020-08-31,Canada,South America,1660,6.666934415036748
2020-08-31,Denmark,South America,2171,6.666666666666667
2020-08-31,Denmark,South America,388,6.667812338889843
2020-08-31,Denmark,Asia,34419,6.666679579456268
2020-08-31,Finland,North America,620,6.666666666666667
2020-08-31,Finland,North America,14250,6.666666666666667
2020-08-31,Finland,North America,2988,6.666815413106049
2020-08-31,Germany,Asia,3093,6.666666666666667
2020-08-31,Germany,Asia,5791,6.666743414993554
2020-08-31,India,Europe,906,6.667157259548164
2020-08-31,Italy,Asia,450,6.666666666666667
2020-08-31,Italy,South America,16456,6.666693674824481
2020-08-31,Italy,North America,27415,6.666666666666667
2020-08-31,Japan,North America,7328,6.666727317388259
2020-08-31,Japan,Asia,17809,6.666666666666667
2020-08-31,Netherlands,Europe,35556,6.666679166533855
2020-08-31,Netherlands,North America,28735,6.666666666666667
2020-08-31,Netherlands,Europe,7130,6.666666666666667
2020-08-31,Netherlands,North America,2993,6.666666666666667
2020-08-31,Netherlands,North America,2785,6.666826255565662
2020-08-31,New Zealand,North America,49383,6.666666666666667
2020-08-31,New Zealand,North America,24462,6.666666666666667
2020-08-31,Norway,Europe,7195,6.666666666666667
2020-08-31,South Korea,South America,535,6.666666666666667
2020-08-31,South Korea,Asia,2333,6.666857175515803
2020-08-31,South Korea,South America,1117,6.666666666666667
2020-08-31,South Korea,South America,176667,6.66666918238614
2020-08-31,South Korea,South America,1333,6.667000100030009
2020-08-31,South Korea,Oceania,7623,6.666666666666667
2020-09-30,Australia,Asia,285,6.668226485727656
2020-09-30,Austria,Europe,8619,6.6667182327279475
2020-09-30,Austria,Europe,25879,6.666683840652886
2020-09-30,Austria,Europe,942,6.667138509448652
2020-09-30,Austria,Europe,876,6.666666666666667
2020-09-30,Belgium,Oceania,2750,6.666666666666667
2020-09-30,Belgium,Asia,260,6.666666666666667
2020-09-30,Canada,South America,1541,6.666666666666667
2020-09-30,Canada,Asia,35133,6.666679317032072
2020-09-30,Denmark,Asia,1664,6.666666666666667
2020-09-30,Denmark,Asia,4681,6.666761614492836
2020-09-30,Denmark,Asia,5752,6.6667439353724545
2020-09-30,Denmark,Asia,12087,6.666666666666667
2020-09-30,Denmark,Asia,35792,6.666666666666667
2020-09-30,Germany,Asia,1897,6.666900962957756
2020-09-30,Germany,Asia,11437,6.666705527122656
2020-09-30,Germany,Asia,1135,6.666666666666667
2020-09-30,India,Europe,960,6.666666666666667
2020-09-30,India,Europe,2182,6.666666666666667
2020-09-30,India,Europe,28929,6.666666666666667
2020-09-30,Italy,South America,2880,6.666666666666667
2020-09-30,Italy,Asia,7720,6.666724237687717
2020-09-30,Italy,Asia,9672,6.666712618642256
2020-09-30,Japan,Asia,192893,6.666666666666667
2020-09-30,Japan,North America,2748,6.666828404376622
2020-09-30,Netherlands,North America,73814,6.666666666666667
2020-09-30,New Zealand,North America,984,6.666666666666667
2020-09-30,Norway,Europe,4481,6.666666666666667
2020-09-30,South Korea,Asia,1400,6.666984142102004
2020-10-31,Belgium,Asia,38111,6.666666666666667
2020-10-31,Canada,South America,567,6.667450611476952
2020-10-31,Canada,Asia,1386,6.66698734907884
2020-10-31,Canada,South America,6713,6.666666666666667
2020-10-31,Denmark,Asia,29557,6.666681703559683
2020-10-31,Denmark,Asia,309,6.666666666666667
2020-10-31,Denmark,Asia,350,6.667936749857116
2020-10-31,Germany,Asia,5527,6.6667470809611125
2020-10-31,Germany,Asia,9147,6.666666666666667
2020-10-31,Germany,Asia,62456,6.666666666666667
2020-10-31,Italy,Asia,1081,6.666666666666667
2020-10-31,Italy,South America,1393,6.666666666666667
2020-10-31,Japan,Asia,1538,6.666955654774806
2020-10-31,Japan,North America,15884,6.666666666666667
2020-10-31,Netherlands,Europe,14090,6.666698210069601
2020-10-31,South Korea,Oceania,28024,6.666666666666667
2020-10-31,South Korea,South America,42728,6.6666770683970995
2020-11-30,Austria,Europe,689,6.666666666666667
2020-11-30,Belgium,Asia,134495,6.666666666666667
2020-11-30,Canada,Asia,4837,6.666666666666667
2020-11-30,Denmark,Asia,118567,6.6666704151354175
2020-11-30,Denmark,Asia,2088,6.666666666666667
2020-11-30,Denmark,Asia,68495,6.666673155386676
2020-11-30,Finland,North America,11835,6.6667042202744415
2020-11-30,Finland,North America,868,6.666666666666667
2020-11-30,India,Europe,1289,6.6670114823626765
2020-11-30,India,Europe,9651,6.666666666666667
2020-11-30,India,Europe,647,6.666666666666667
2020-11-30,Italy,South America,2336,6.666666666666667
2020-11-30,Netherlands,Europe,34164,6.666679675837482
2020-11-30,Netherlands,North America,18639,6.66669051161726
2020-11-30,Netherlands,Europe,1976,6.666891595532913
2020-11-30,Netherlands,North America,18731,6.666666666666667
2020-11-30,Netherlands,Europe,45118,6.666676517393674
2020-11-30,New Zealand,North America,4872,6.666757892144118
2020-11-30,New Zealand,North America,741,6.667266510707217
2020-11-30,South Korea,South America,1770,6.666666666666667
2020-11-30,South Korea,Asia,3188,6.666666666666667
2020-11-30,South Korea,Asia,16352,6.66669384659918
2020-11-30,South Korea,South America,3851,6.666666666666667
2020-11-30,South Korea,Oceania,1974,6.6668918234320635
2020-11-30,South Korea,Oceania,4209,6.666666666666667
2020-12-31,Australia,Asia,5796,6.666666666666667
2020-12-31,Austria,Europe,37084,6.666678651491481
2020-12-31,Austria,Europe,2228,6.666866153984261
2020-12-31,Belgium,Asia,4603,6.666666666666667
2020-12-31,Belgium,Oceania,2126,6.666875725171689
2020-12-31,Canada,South America,7882,6.666666666666667
2020-12-31,Canada,South America,3801,6.6667835970112606
2020-12-31,Canada,Asia,8331,6.666720015364424
2020-12-31,Canada,Asia,5786,6.666666666666667
2020-12-31,Canada,South America,5620,6.666745750246148
2020-12-31,Canada,South America,1541,6.666955092151943
2020-12-31,Denmark,Asia,8328,6.666666666666667
2020-12-31,Denmark,Asia,2180,6.666666666666667
2020-12-31,Denmark,Asia,2060,6.6668824233793975
2020-12-31,Denmark,Asia,7165,6.66672869717327
2020-12-31,Finland,North America,37131,6.666666666666667
2020-12-31,Germany,Asia,4680,6.666666666666667
2020-12-31,Italy,North America,365555,6.666666666666667
2020-12-31,Italy,Asia,56302,6.666666666666667
2020-12-31,Japan,Asia,5236,6.666751550185259
2020-12-31,Netherlands,Europe,10432,6.66670927089258
2020-12-31,Netherlands,North America,2001,6.666666666666667
2020-12-31,Netherlands,North America,23289,6.666685750599713
2020-12-31,Norway,Europe,34243,6.666666666666667
2020-12-31,South Korea,Asia,6961,6.666666666666667
2020-12-31,South Korea,Asia,46107,6.66667630609424
2020-12-31,South Korea,Oceania,1381,6.666988510186347
2021-01-31,Australia,Asia,5772,6.666666666666667
2021-01-31,Australia,Asia,1607,6.666666666666667
2021-01-31,Austria,Europe,19448,6.666689519709035
2021-01-31,Austria,Europe,6899,6.66673108886398
2021-01-31,Belgium,Asia,6332,6.666736857621158
2021-01-31,Belgium,Asia,2339,6.666666666666667
2021-01-31,Canada,South America,3083,6.666666666666667
2021-01-31,Denmark,Asia,3822,6.666666666666667
2021-01-31,Denmark,South America,7825,6.666723465162643
2021-01-31,Denmark,Asia,3490,6.66679401707769
2021-01-31,Denmark,Asia,1622,6.666940688067738
2021-01-31,Denmark,Asia,26770,6.666666666666667
2021-01-31,Denmark,Asia,6394,6.666666666666667
2021-01-31,Denmark,Asia,2976,6.6668160129035146
2021-01-31,India,Europe,3608,6.6667898519928315
2021-01-31,Italy,Asia,19054,6.666666666666667
2021-01-31,Italy,North America,16700,6.666693280212696
2021-01-31,Italy,Asia,2816,6.666824498686048
2021-01-31,Japan,Asia,36012,6.666666666666667
2021-01-31,Netherlands,Europe,8520,6.666718831915743
2021-01-31,Netherlands,Europe,25394,6.666684168659706
2021-01-31,Norway,Europe,7501,6.666725918552357
2021-01-31,South Korea,Oceania,28988,6.666666666666667
2021-01-31,South Korea,South America,1971,6.666666666666667
2021-01-31,South Korea,Oceania,21724,6.666666666666667
2021-01-31,South Korea,South America,5393,6.6667490790417085
2021-02-28,Australia,Asia,11561,6.666666666666667
2021-02-28,Austria,Europe,4412,6.666666666666667
2021-02-28,Belgium,Asia,2223,6.66686660268714
2021-02-28,Belgium,Asia,3146,6.666666666666667
2021-02-28,Denmark,Asia,532,6.667502193257301
2021-02-28,Denmark,South America,243,6.6684961580680575
2021-02-28,Denmark,Asia,2125,6.666666666666667
2021-02-28,Finland,North America,99801,6.666666666666667
2021-02-28,Japan,Asia,8060,6.666721809113392
2021-02-28,Japan,North America,72190,6.666672823265293
2021-02-28,Japan,Asia,1347,6.666996634329836
2021-02-28,Norway,Europe,3144,6.666808032401026
2021-02-28,South Korea,Asia,4929,6.666666666666667
2021-02-28,South Korea,South America,10909,6.666666666666667
2021-02-28,South Korea,Oceania,3821,6.666782984960045
2021-03-31,Austria,Europe,262,6.668363451259863
2021-03-31,Austria,Europe,6654,6.666733460910339
2021-03-31,Belgium,Oceania,3679,6.666787474630327
2021-03-31,Belgium,Oceania,3638,6.666666666666667
2021-03-31,Belgium,Asia,1164,6.667048513660576
2021-03-31,Canada,South America,6235,6.66673794961721
2021-03-31,Canada,South America,36515,6.666666666666667
2021-03-31,Canada,Asia,2283,6.666666666666667
2021-03-31,Canada,South America,3281,6.666802129475352
2021-03-31,Denmark,Asia,4650,6.666762247487419
2021-03-31,Denmark,Asia,6600,6.666734007414216
2021-03-31,Denmark,Asia,16088,6.6666942926168264
2021-03-31,Finland,North America,2290,6.666860752860345
2021-03-31,Finland,North America,8165,6.666721099988569
2021-03-31,Finland,North America,20294,6.666666666666667
2021-03-31,Germany,Asia,8689,6.666717817300167
2021-03-31,India,Europe,18742,6.66669038057262
2021-03-31,Italy,North America,10371,6.666666666666667
2021-03-31,Italy,South America,30591,6.666666666666667
2021-03-31,Italy,North America,4323,6.666666666666667
2021-03-31,Italy,North America,56666,6.666674509905422
2021-03-31,Italy,South America,4234,6.666771638665386
2021-03-31,Japan,Asia,1765,6.666918486061796
2021-03-31,Japan,North America,326,6.668030272039271
2021-03-31,Japan,Asia,747,6.667261692252767
2021-03-31,Netherlands,Europe,8324,6.666666666666667
2021-03-31,Norway,Europe,949,6.667135028804272
2021-03-31,South Korea,South America,29934,6.666666666666667
2021-03-31,South Korea,Asia,9143,6.666715277372688
2021-03-31,South Korea,South America,108139,6.666666666666667
2021-03-31,South Korea,South America,29229,6.666666666666667
2021-04-30,Australia,Asia,2575,6.6668392709196365
2021-04-30,Belgium,Oceania,8250,6.666666666666667
2021-04-30,Canada,South America,19092,6.666689945841001
2021-04-30,Canada,Asia,4043,6.666666666666667
2021-04-30,Canada,Asia,13667,6.666699186357339
2021-04-30,Denmark,Asia,3115,6.666809348514683
2021-04-30,Denmark,Asia,1060,6.666666666666667
2021-04-30,Denmark,Asia,10902,6.666666666666667
2021-04-30,Denmark,Asia,12143,6.666666666666667
2021-04-30,Denmark,South America,21779,6.666666666666667
2021-04-30,Denmark,South America,14083,6.666666666666667
2021-04-30,Finland,North America,830,6.6672021849144505
2021-04-30,Finland,North America,32121,6.666680503264745
2021-04-30,Finland,North America,1985,6.666666666666667
2021-04-30,India,Europe,2278,6.666861775293395
2021-04-30,Italy,North America,2096,6.66687871751646
2021-04-30,Italy,North America,417,6.666666666666667
2021-04-30,Italy,Asia,2026,6.666886044292343
2021-04-30,Italy,North America,27662,6.666666666666667
2021-04-30,Italy,Asia,9256,6.666714683914463
2021-04-30,Italy,Asia,292927,6.666666666666667
2021-04-30,Japan,North America,754,6.666666666666667
2021-04-30,Japan,Asia,41716,6.666666666666667
2021-04-30,Netherlands,Europe,34732,6.666666666666667
2021-04-30,New Zealand,North America,1646,6.666666666666667
2021-04-30,New Zealand,North America,5353,6.666749694871347
2021-04-30,Norway,Europe,5025,6.6667551144957145
2021-04-30,South Korea,Asia,2065,6.666881900949183
2021-04-30,South Korea,South America,6084,6.666739718822254
2021-05-31,Australia,Asia,2275,6.666862032587035
2021-05-31,Austria,Europe,6856,6.666731492916112
2021-05-31,Austria,Europe,106,6.670862177470108
2021-05-31,Belgium,Oceania,5104,6.666753745477344
2021-05-31,Belgium,Asia,1516,6.666666666666667
2021-05-31,Belgium,Oceania,644,6.6673568692411225
2021-05-31,Belgium,Oceania,925,6.667147181778867
2021-05-31,Canada,South America,20012,6.6666888756375355
2021-05-31,Canada,Asia,22506,6.666666666666667
2021-05-31,Canada,South America,13661,6.666699200640269
2021-05-31,Canada,South America,778,6.666666666666667
2021-05-31,Denmark,Asia,378,6.666666666666667
2021-05-31,Finland,North America,25511,6.66668408839086
2021-05-31,Finland,North America,24833,6.66668456404667
2021-05-31,Finland,North America,13035,6.666700763077678
2021-05-31,India,Europe,12541,6.666702106169662
2021-05-31,India,Europe,418,6.667730100494497
2021-05-31,Italy,South America,26524,6.666666666666667
2021-05-31,Italy,Asia,4560,6.6667641339785675
2021-05-31,Italy,North America,370547,6.666667866094874
2021-05-31,Italy,South America,87725,6.666666666666667
2021-05-31,Italy,Asia,639,6.667362270450751
2021-05-31,Italy,North America,195702,6.666666666666667
2021-05-31,Japan,Asia,4357,6.666666666666667
2021-05-31,Japan,Asia,754,6.666666666666667
2021-05-31,Netherlands,North America,559,6.666666666666667
2021-05-31,Norway,Europe,159223,6.666666666666667
2021-05-31,Norway,Europe,1102,6.666666666666667
2021-05-31,Norway,Europe,34744,6.666679458668084
2021-05-31,Norway,Europe,433,6.666666666666667
2021-05-31,South Korea,Asia,20867,6.666666666666667
2021-05-31,South Korea,South America,19820,6.666666666666667
2021-05-31,South Korea,South America,6449,6.666735584179295
2021-05-31,South Korea,South America,8170,6.666666666666667
2021-06-30,Australia,Asia,12049,6.666666666666667
2021-06-30,Belgium,Asia,72601,6.666666666666667
2021-06-30,Belgium,Asia,22268,6.666686625611118
2021-06-30,Canada,South America,621,6.666666666666667
2021-06-30,Canada,Asia,16161,6.666666666666667
2021-06-30,Denmark,Asia,561,6.666666666666667
2021-06-30,Germany,Asia,4152,6.666666666666667
2021-06-30,India,Europe,37498,6.6666785191717235
2021-06-30,Italy,Asia,4989,6.666666666666667
2021-06-30,Italy,South America,12331,6.666702709716485
2021-06-30,Japan,North America,3177,6.666666666666667
2021-06-30,Japan,Asia,5815,6.666743098229845
2021-06-30,Japan,North America,78413,6.666666666666667
2021-06-30,Netherlands,Europe,111242,6.666666666666667
2021-06-30,Netherlands,Europe,19110,6.666666666666667
2021-06-30,Netherlands,Europe,43369,6.666676914657804
2021-06-30,New Zealand,North America,13058,6.666700703020896
2021-06-30,Norway,Europe,30198,6.666681384377298
2021-06-30,Norway,Europe,4363,6.666768534930628
2021-06-30,South Korea,South America,9448,6.666666666666667
2021-06-30,South Korea,Asia,12378,6.666666666666667
2021-06-30,South Korea,Asia,2276,6.666666666666667
2021-06-30,South Korea,Asia,24441,6.666684851096793
2021-06-30,South Korea,Oceania,2464,6.6668470467274545
2021-06-30,South Korea,South America,413,6.667742977074588
2021-07-31,Belgium,Asia,375,6.667852062588904
2021-07-31,Belgium,Asia,4134,6.666666666666667
2021-07-31,Belgium,Asia,5504,6.666666666666667
2021-07-31,Canada,South America,650,6.667350497486922
2021-07-31,Denmark,Asia,11506,6.666666666666667
2021-07-31,Denmark,Asia,27594,6.666682773266587
2021-07-31,Denmark,South America,772,6.666666666666667
2021-07-31,Denmark,South America,728,6.666666666666667
2021-07-31,Denmark,Asia,13171,6.666700411006053
2021-07-31,Denmark,Asia,3454,6.666795344438226
2021-07-31,Germany,Asia,48023,6.666666666666667
2021-07-31,India,Europe,17003,6.66669280594721
2021-07-31,Italy,Asia,11196,6.666666666666667
2021-07-31,Italy,South America,2369,6.666854280407497
2021-07-31,Italy,South America,217,6.668715427166565
2021-07-31,Italy,North America,3749,6.6667852189067105
2021-07-31,Japan,North America,987,6.667116995406647
2021-07-31,Japan,Asia,19273,6.666666666666667
2021-07-31,Norway,Europe,13474,6.666666666666667
2021-07-31,South Korea,Oceania,5429,6.666748532553971
2021-07-31,South Korea,Oceania,1613,6.666942217078614
2021-08-31,Australia,Asia,11017,6.666707008604936
2021-08-31,Australia,Asia,6344,6.666736724849988
2021-08-31,Austria,Europe,4582,6.666666666666667
2021-08-31,Austria,Europe,13837,6.666666666666667
2021-08-31,Canada,South America,3542,6.666666666666667
2021-08-31,Canada,Asia,11544,6.666705166927506
2021-08-31,Canada,Asia,3918,6.666780105157481
2021-08-31,Canada,South America,3573,6.666666666666667
2021-08-31,Denmark,Asia,6813,6.666731902068615
2021-08-31,Denmark,Asia,22580,6.666666666666667
2021-08-31,Denmark,Asia,415774,6.666666666666667
2021-08-31,Denmark,Asia,20967,6.666666666666667
2021-08-31,Denmark,Asia,7298,6.666727566708383
2021-08-31,Denmark,Asia,3436,6.666666666666667
2021-08-31,Denmark,Asia,1454,6.666972350864323
2021-08-31,Finland,North America,1622,6.666940688067738
2021-08-31,Finland,North America,10162,6.666666666666667
2021-08-31,India,Europe,4707,6.666761090023228
2021-08-31,Italy,North America,1944,6.666895298192668
2021-08-31,Italy,Asia,15307,6.666666666666667
2021-08-31,Japan,North America,6151,6.6667389230902625
2021-08-31,Japan,North America,1266,6.666666666666667
2021-08-31,Japan,North America,9930,6.666711424715841
2021-08-31,Japan,Asia,130,6.670087224217546
2021-08-31,Netherlands,Europe,11204,6.666706335275112
2021-08-31,Netherlands,North America,9739,6.666666666666667
2021-08-31,South Korea,Oceania,82686,6.666666666666667
2021-08-31,South Korea,Oceania,2236,6.666666666666667
2021-08-31,South Korea,South America,6625,6.666733753295631
2021-08-31,South Korea,Oceania,6229,6.666666666666667
2021-08-31,South Korea,Oceania,2629,6.6668357255160515
2021-08-31,South Korea,Asia,2652,6.666666666666667
2021-09-30,Austria,Europe,9603,6.666666666666667
2021-09-30,Belgium,Oceania,3142,6.666666666666667
2021-09-30,Canada,South America,714,6.666666666666667
2021-09-30,Canada,Asia,491,6.667571971754481
2021-09-30,Canada,South America,3545,6.666792041223155
2021-09-30,Denmark,Asia,14104,6.666698178758644
2021-09-30,Denmark,Asia,1637,6.66693817707909
2021-09-30,Denmark,South America,32313,6.666666666666667
2021-09-30,Denmark,South America,21615,6.666666666666667
2021-09-30,Denmark,Asia,3020,6.666666666666667
2021-09-30,Finland,North America,12759,6.666666666666667
2021-09-30,Finland,North America,11253,6.666666666666667
2021-09-30,Finland,North America,6110,6.666666666666667
2021-09-30,Germany,Asia,9419,6.6667138529486705
2021-09-30,Germany,Asia,4070,6.666775868564595
2021-09-30,Italy,South America,156,6.666666666666667
2021-09-30,Italy,North America,1744,6.666666666666667
2021-09-30,Italy,Asia,2355,6.666666666666667
2021-09-30,Italy,North America,751,6.666666666666667
2021-09-30,Italy,Asia,7039,6.666666666666667
2021-09-30,Italy,Asia,1890,6.6669018307524075
2021-09-30,Italy,South America,2094,6.666666666666667
2021-09-30,Japan,Asia,28505,6.6666822585096375
2021-09-30,Japan,North America,26757,6.666683277106992
2021-09-30,Japan,Asia,5131,6.666666666666667
2021-09-30,New Zealand,North America,32781,6.666666666666667
